variable,coeficiente,se,t_stat,p_value,sig,ci95_lo,ci95_hi
intercepto,6.70209,0.569032,11.7781,0.0,***,5.586787,7.817392
score_disciplina,0.00879,0.034494,0.2548,0.798855,,-0.058817,0.076398
score_conocimiento,0.007064,0.005143,1.3735,0.169672,,-0.003017,0.017146
score_red_contactos,0.001832,0.024071,0.0761,0.939338,,-0.045348,0.049012
edad_inicio,-0.002319,0.008917,-0.2601,0.794829,,-0.019796,0.015158
capital_inicial_usd,-2e-06,6e-06,-0.3571,0.721033,,-1.5e-05,1e-05
horas_sem_pico,-0.000853,0.003795,-0.2249,0.822096,,-0.008292,0.006585
score_vision,0.004625,0.037794,0.1224,0.902615,,-0.069452,0.078702
