factor,r_con_exito,r2_con_exito,r_con_roi,pct_atribuido_decl,gap,subvalorado
Visión / Estrategia,0.1696,0.0288,0.012,7.8,9.17,True
Capital inicial,0.0856,0.0073,-0.039,1.86,6.7,True
Disciplina / Constancia,0.0219,0.0005,0.0139,26.64,-24.45,False
Resiliencia,0.0195,0.0004,0.0234,—,—,—
Trabajo duro (horas),0.0158,0.0003,-0.0065,11.51,-9.93,False
Red de contactos,0.0083,0.0001,-0.0044,13.59,-12.76,False
Suerte / Azar,0.0007,0.0,-0.0114,3.91,-3.85,False
Conocimiento técnico,-0.0055,0.0,-0.0121,16.29,-15.73,False
