model,n,k,r2,r2_adj,rmse,mae,f_stat,f_pval,aic,bic,log_lik
A1: Éxito ~ features principales,5000,10,0.1157,0.1141,7.826,6.0529,72.5259,0.0,34773.95,34839.12,-17376.9763
A2: Éxito ~ features extendidas,5000,14,0.116,0.1137,7.8276,6.0517,50.348,0.0,34779.91,34871.15,-17375.955
B1: ROI ~ features principales,5000,10,0.0042,0.0024,18.2661,15.0153,2.3246,0.013138,43249.86,43315.03,-21614.9294
C1: Bienestar ~ sacrificios + variables control,5000,10,0.5185,0.5177,7.9178,6.3375,597.138,0.0,34890.47,34955.64,-17435.2325
D1: Tiempo ~ factores de velocidad,5000,8,0.0004,-0.001,3.5766,2.9196,0.3154,0.947429,26941.4,26993.54,-13462.701
