variable,coef,se,t,p,sig,ci95_lo,ci95_hi
intercepto,11.670119,1.310214,8.907,0.0,***,9.1021,14.238138
score_disciplina,0.111446,0.075748,1.4713,0.14128,,-0.03702,0.259911
score_conocimiento,-0.006357,0.011298,-0.5627,0.573694,,-0.028501,0.015787
horas_sem_pico,-0.037377,0.01843,-2.028,0.04261,*,-0.073499,-0.001254
sacrificio_total,0.650938,0.226004,2.8802,0.003991,**,0.20797,1.093907
anos_trayectoria_total,0.457879,0.022244,20.5843,0.0,***,0.41428,0.501477
score_vision,1.047395,0.083057,12.6105,0.0,***,0.884602,1.210187
score_resiliencia,0.135583,0.073923,1.8341,0.066697,,-0.009306,0.280471
