sector,sacrificio_familia,sacrificio_salud,sacrificio_amor_pareja,sacrificio_amigos,sacrificio_ocio_hobbies,sacrificio_sueno,sacrificio_total
Agroindustria,7.541,6.254,7.402,5.781,8.196,7.419,7.099
Finanzas,7.532,6.245,7.298,5.73,7.995,7.265,7.011
Inmuebles,7.504,6.261,7.18,5.785,8.013,7.256,7.0
Manufactura,7.472,6.254,7.221,5.652,8.032,7.291,6.987
Retail/Comercio,7.447,6.158,7.211,5.714,8.09,7.254,6.979
Salud/Farma,7.215,6.191,7.108,5.471,7.978,6.874,6.806
Servicios,7.535,6.393,7.193,5.662,8.093,7.3,7.029
Tecnología,7.52,6.216,7.152,5.71,8.026,7.278,6.984
